subject,item_id,response
102,1,1
102,2,1
102,3,1
102,4,1
102,5,1
102,6,0
102,7,1
102,8,1
102,9,0
102,10,1
102,11,1
102,12,1
102,13,1
102,14,0
102,15,0
102,16,1
102,17,1
102,18,1
102,19,1
102,20,1
102,21,0
102,22,0
102,23,0
102,24,0
102,25,0
102,26,1
102,27,0
102,28,1
102,29,0
102,30,1
102,31,1
102,32,1
102,33,0
102,34,1
102,35,0
102,36,0
102,37,1
102,38,1
102,39,1
102,40,1
102,41,1
102,42,0
102,43,1
102,44,1
102,45,1
102,46,1
102,47,1
102,48,0
104,1,1
104,2,0
104,3,1
104,4,0
104,5,0
104,6,0
104,7,0
104,8,1
104,9,1
104,10,1
104,11,0
104,12,1
104,13,1
104,14,0
104,15,1
104,16,1
104,17,0
104,18,0
104,19,1
104,20,1
104,21,0
104,22,1
104,23,0
104,24,1
104,25,1
104,26,1
104,27,1
104,28,0
104,29,0
104,30,1
104,31,0
104,32,1
104,33,1
104,34,1
104,35,0
104,36,1
104,37,0
104,38,1
104,39,1
104,40,0
104,41,1
104,42,0
104,43,0
104,44,1
104,45,0
104,46,0
104,47,0
104,48,1
105,1,1
105,2,1
105,3,1
105,4,1
105,5,0
105,6,0
105,7,0
105,8,1
105,9,0
105,10,1
105,11,1
105,12,0
105,13,0
105,14,0
105,15,1
105,16,0
105,17,1
105,18,0
105,19,0
105,20,1
105,21,0
105,22,0
105,23,1
105,24,0
105,25,1
105,26,1
105,27,1
105,28,0
105,29,1
105,30,0
105,31,1
105,32,1
105,33,0
105,34,1
105,35,0
105,36,1
105,37,1
105,38,1
105,39,1
105,40,1
105,41,1
105,42,1
105,43,1
105,44,0
105,45,1
105,46,1
105,47,1
105,48,0
106,1,1
106,2,1
106,3,1
106,4,1
106,5,1
106,6,1
106,7,1
106,8,1
106,9,1
106,10,0
106,11,1
106,12,0
106,13,1
106,14,1
106,15,1
106,16,1
106,17,1
106,18,1
106,19,1
106,20,1
106,21,1
106,22,1
106,23,0
106,24,1
106,25,1
106,26,0
106,27,1
106,28,1
106,29,1
106,30,0
106,31,1
106,32,1
106,33,1
106,34,1
106,35,0
106,36,1
106,37,1
106,38,1
106,39,1
106,40,1
106,41,1
106,42,1
106,43,1
106,44,1
106,45,1
106,46,1
106,47,0
106,48,1
107,1,1
107,2,1
107,3,1
107,4,1
107,5,1
107,6,1
107,7,1
107,8,1
107,9,1
107,10,1
107,11,1
107,12,1
107,13,1
107,14,1
107,15,1
107,16,1
107,17,1
107,18,1
107,19,1
107,20,1
107,21,1
107,22,1
107,23,1
107,24,1
107,25,0
107,26,1
107,27,1
107,28,1
107,29,1
107,30,1
107,31,1
107,32,1
107,33,1
107,34,1
107,35,1
107,36,0
107,37,1
107,38,1
107,39,1
107,40,1
107,41,1
107,42,1
107,43,1
107,44,0
107,45,1
107,46,1
107,47,0
107,48,1
109,1,1
109,2,1
109,3,1
109,4,0
109,5,0
109,6,1
109,7,1
109,8,1
109,9,1
109,10,1
109,11,1
109,12,0
109,13,0
109,14,0
109,15,0
109,16,1
109,17,1
109,18,1
109,19,0
109,20,0
109,21,1
109,22,0
109,23,0
109,24,0
109,25,1
109,26,1
109,27,1
109,28,1
109,29,0
109,30,1
109,31,1
109,32,1
109,33,0
109,34,1
109,35,0
109,36,1
109,37,0
109,38,0
109,39,0
109,40,1
109,41,1
109,42,1
109,43,0
109,44,1
109,45,1
109,46,1
109,47,0
109,48,0
110,1,0
110,2,1
110,3,1
110,4,0
110,5,0
110,6,0
110,7,1
110,8,1
110,9,1
110,10,1
110,11,0
110,12,0
110,13,1
110,14,1
110,15,1
110,16,1
110,17,1
110,18,1
110,19,0
110,20,1
110,21,1
110,22,0
110,23,0
110,24,0
110,25,1
110,26,1
110,27,1
110,28,0
110,29,0
110,30,0
110,31,0
110,32,1
110,33,0
110,34,0
110,35,0
110,36,1
110,37,1
110,38,1
110,39,1
110,40,0
110,41,1
110,42,1
110,43,1
110,44,1
110,45,0
110,46,0
110,47,0
110,48,0
111,1,1
111,2,1
111,3,1
111,4,1
111,5,1
111,6,1
111,7,1
111,8,1
111,9,1
111,10,1
111,11,1
111,12,1
111,13,0
111,14,1
111,15,0
111,16,1
111,17,1
111,18,1
111,19,0
111,20,1
111,21,1
111,22,1
111,23,1
111,24,1
111,25,1
111,26,1
111,27,1
111,28,0
111,29,1
111,30,1
111,31,1
111,32,0
111,33,1
111,34,1
111,35,0
111,36,1
111,37,0
111,38,0
111,39,0
111,40,1
111,41,1
111,42,1
111,43,0
111,44,0
111,45,0
111,46,1
111,47,1
111,48,1
112,1,0
112,2,0
112,3,1
112,4,1
112,5,0
112,6,1
112,7,1
112,8,1
112,9,0
112,10,1
112,11,1
112,12,0
112,13,1
112,14,1
112,15,0
112,16,1
112,17,0
112,18,0
112,19,1
112,20,1
112,21,0
112,22,0
112,23,1
112,24,0
112,25,0
112,26,0
112,27,0
112,28,1
112,29,1
112,30,0
112,31,1
112,32,1
112,33,1
112,34,1
112,35,0
112,36,0
112,37,0
112,38,1
112,39,1
112,40,0
112,41,0
112,42,0
112,43,1
112,44,1
112,45,1
112,46,0
112,47,0
112,48,1
113,1,1
113,2,0
113,3,1
113,4,1
113,5,1
113,6,0
113,7,0
113,8,1
113,9,1
113,10,1
113,11,1
113,12,0
113,13,0
113,14,0
113,15,1
113,16,1
113,17,1
113,18,1
113,19,0
113,20,1
113,21,1
113,22,1
113,23,0
113,24,0
113,25,1
113,26,1
113,27,1
113,28,0
113,29,0
113,30,1
113,31,1
113,32,1
113,33,1
113,34,1
113,35,1
113,36,0
113,37,1
113,38,0
113,39,1
113,40,1
113,41,1
113,42,0
113,43,0
113,44,0
113,45,1
113,46,1
113,47,0
113,48,1
114,1,1
114,2,1
114,3,1
114,4,1
114,5,0
114,6,1
114,7,0
114,8,1
114,9,0
114,10,0
114,11,0
114,12,1
114,13,1
114,14,1
114,15,0
114,16,1
114,17,1
114,18,1
114,19,1
114,20,0
114,21,0
114,22,0
114,23,0
114,24,1
114,25,1
114,26,0
114,27,1
114,28,0
114,29,0
114,30,0
114,31,1
114,32,0
114,33,1
114,34,0
114,35,0
114,36,0
114,37,0
114,38,1
114,39,1
114,40,1
114,41,1
114,42,0
114,43,0
114,44,0
114,45,0
114,46,0
114,47,0
114,48,0
116,1,1
116,2,1
116,3,0
116,4,1
116,5,0
116,6,1
116,7,1
116,8,1
116,9,1
116,10,1
116,11,1
116,12,1
116,13,1
116,14,1
116,15,1
116,16,1
116,17,0
116,18,1
116,19,1
116,20,0
116,21,1
116,22,1
116,23,0
116,24,1
116,25,1
116,26,1
116,27,0
116,28,0
116,29,1
116,30,1
116,31,1
116,32,1
116,33,1
116,34,1
116,35,1
116,36,1
116,37,1
116,38,1
116,39,1
116,40,1
116,41,1
116,42,0
116,43,0
116,44,1
116,45,1
116,46,0
116,47,1
116,48,1
117,1,1
117,2,1
117,3,1
117,4,0
117,5,1
117,6,1
117,7,1
117,8,1
117,9,1
117,10,1
117,11,1
117,12,0
117,13,1
117,14,1
117,15,1
117,16,1
117,17,1
117,18,0
117,19,1
117,20,1
117,21,0
117,22,0
117,23,1
117,24,1
117,25,0
117,26,1
117,27,1
117,28,1
117,29,1
117,30,1
117,31,1
117,32,1
117,33,1
117,34,0
117,35,1
117,36,1
117,37,1
117,38,1
117,39,1
117,40,1
117,41,1
117,42,1
117,43,1
117,44,1
117,45,1
117,46,1
117,47,1
117,48,1
119,1,1
119,2,0
119,3,1
119,4,1
119,5,0
119,6,0
119,7,1
119,8,0
119,9,1
119,10,1
119,11,1
119,12,0
119,13,0
119,14,0
119,15,0
119,16,1
119,17,1
119,18,1
119,19,0
119,20,1
119,21,1
119,22,1
119,23,0
119,24,0
119,25,0
119,26,1
119,27,0
119,28,0
119,29,0
119,30,1
119,31,1
119,32,0
119,33,1
119,34,1
119,35,0
119,36,0
119,37,1
119,38,1
119,39,1
119,40,0
119,41,1
119,42,0
119,43,0
119,44,0
119,45,1
119,46,0
119,47,1
119,48,0
120,1,0
120,2,0
120,3,0
120,4,1
120,5,0
120,6,1
120,7,1
120,8,1
120,9,1
120,10,1
120,11,1
120,12,0
120,13,1
120,14,1
120,15,1
120,16,1
120,17,0
120,18,1
120,19,1
120,20,0
120,21,1
120,22,1
120,23,1
120,24,0
120,25,1
120,26,1
120,27,0
120,28,0
120,29,1
120,30,0
120,31,1
120,32,0
120,33,1
120,34,1
120,35,1
120,36,1
120,37,0
120,38,1
120,39,1
120,40,1
120,41,1
120,42,1
120,43,1
120,44,0
120,45,0
120,46,0
120,47,1
120,48,1
121,1,1
121,2,1
121,3,1
121,4,1
121,5,1
121,6,1
121,7,1
121,8,1
121,9,1
121,10,1
121,11,1
121,12,1
121,13,1
121,14,1
121,15,0
121,16,1
121,17,1
121,18,0
121,19,1
121,20,0
121,21,1
121,22,1
121,23,1
121,24,1
121,25,0
121,26,1
121,27,1
121,28,1
121,29,1
121,30,0
121,31,1
121,32,1
121,33,0
121,34,1
121,35,1
121,36,0
121,37,1
121,38,1
121,39,1
121,40,1
121,41,0
121,42,1
121,43,0
121,44,1
121,45,1
121,46,0
121,47,1
121,48,1
123,1,1
123,2,0
123,3,1
123,4,1
123,5,0
123,6,0
